status,Chipset,SIM,Cardslot,CPU,GPU,Display,price[EUR],weight[g],length[mm],width[mm],thikness[mm],Internal memory[GB],Internal memory RAM[GB],Video[fps],Battery Type[mAh],Announced,OS
161,19,125,73,116,9,46,0.14283796431256424,0.4937106918238994,0.6460829493087558,0.6320474777448073,0.2,0.2440944881889764,0.4666666666666667,0.0,0.6338653941089354,0.052980132450331126,0
161,66,125,73,116,23,16,0.02185586940178284,0.18238993710691825,0.36989247311827955,0.19732937685459945,0.380952380952381,0.2440944881889764,0.2,0.0,0.3870330755306895,0.033112582781456956,0
161,53,125,73,116,53,11,0.14115025238964665,0.22431865828092243,0.3827956989247312,0.2072205736894165,0.5999999999999999,0.2440944881889764,0.33333333333333337,0.0,0.33355273983873623,0.052980132450331126,0
161,53,125,106,116,53,16,0.06865918959142028,0.17714884696016772,0.365284178187404,0.198813056379822,0.3333333333333334,0.2440944881889764,0.33333333333333337,0.0,0.3870330755306895,0.059602649006622516,0
161,66,125,73,116,23,11,0.017065068966046305,0.1729559748427673,0.3791090629800308,0.1948565776458952,0.3904761904761905,0.11811023622047244,0.2,0.0,0.3870330755306895,0.06622516556291391,0
161,19,125,106,4,9,4,0.16685333783389847,0.1719077568134172,0.36036866359447006,0.19090009891196835,0.3333333333333334,0.2440944881889764,0.4666666666666667,0.0,0.3788053315780813,0.01986754966887417,0
161,53,125,106,116,53,4,0.3164459855470488,0.20125786163522014,0.3649769585253456,0.19584569732937684,0.40952380952380946,0.49606299212598426,0.7333333333333334,0.0,0.3870330755306895,0.0728476821192053,0
161,53,125,106,116,53,4,0.26351320251008786,0.1719077568134172,0.3514592933947773,0.18694362017804156,0.3238095238095238,0.49606299212598426,0.7333333333333334,0.0,0.3788053315780813,0.0728476821192053,0
161,19,125,73,116,10,16,0.0444903877134572,0.17924528301886794,0.36989247311827955,0.19732937685459945,0.3619047619047619,0.2440944881889764,0.33333333333333337,0.0,0.3870330755306895,0.03973509933774834,0
161,66,125,73,116,2,5,0.548655967595931,0.7253668763102725,0.8675883256528416,0.8437190900098913,0.14285714285714296,0.49606299212598426,0.7333333333333334,0.0,0.8971532005923977,0.03973509933774834,0
161,19,27,106,2,10,16,0.07498810930236126,0.039308176100628936,0.007373271889400901,0.03956478733926805,0.638095238095238,0.11811023622047244,0.06666666666666667,0.0,0.012259338489386207,0.033112582781456956,1
161,19,125,73,116,10,16,0.054048974331435934,0.17924528301886794,0.36989247311827955,0.19732937685459945,0.3619047619047619,0.2440944881889764,0.33333333333333337,0.0,0.3870330755306895,0.033112582781456956,0
161,66,125,73,116,7,11,0.01495542906239931,0.17714884696016772,0.38341013824884795,0.198813056379822,0.46666666666666673,0.11811023622047244,0.2,0.0,0.3870330755306895,0.03973509933774834,0
161,66,125,73,116,2,5,0.40044417509244057,0.6981132075471698,0.8672811059907835,0.8432245301681504,0.11428571428571427,0.2440944881889764,0.7333333333333334,0.0,0.9300641764028305,0.01986754966887417,0
161,66,125,73,116,7,11,0.011507126747165409,0.17714884696016772,0.38341013824884795,0.198813056379822,0.46666666666666673,0.11811023622047244,0.2,0.0,0.3870330755306895,0.03973509933774834,0
161,53,125,106,1,53,4,0.6942633137456464,0.22012578616352202,0.34992319508448544,0.5173095944609298,0.09523809523809529,1.0,1.0,0.0,0.3376666118150403,0.033112582781456956,0
161,53,125,73,116,53,21,0.32219954892063146,0.6855345911949685,0.6110599078341014,0.6538081107814046,0.5999999999999999,0.2440944881889764,0.33333333333333337,0.0,0.8066480171137075,0.052980132450331126,0
161,66,125,73,116,23,11,0.017567546834005857,0.16561844863731656,0.3791090629800308,0.1948565776458952,0.3523809523809523,0.11811023622047244,0.2,0.0,0.3870330755306895,0.02649006622516556,0
161,66,125,73,116,2,21,0.051087807048498704,0.47274633123689724,0.6546850998463902,0.6463897131552918,0.28571428571428575,0.2440944881889764,0.33333333333333337,0.0,0.5548790521638968,0.01986754966887417,0
161,66,125,73,116,23,16,0.042342390720652975,0.1729559748427673,0.36989247311827955,0.19732937685459945,0.380952380952381,0.2440944881889764,0.2,0.0,0.3870330755306895,0.059602649006622516,0
161,66,125,73,116,23,16,0.02991852954263007,0.1719077568134172,0.36989247311827955,0.19732937685459945,0.3428571428571428,0.2440944881889764,0.2,0.0,0.3870330755306895,0.01986754966887417,0
161,19,125,73,116,10,16,0.05139849947067217,0.18238993710691825,0.36866359447004604,0.19535113748763605,0.3619047619047619,0.2440944881889764,0.2,0.0,0.3870330755306895,0.059602649006622516,0
