@RELATION devices

@ATTRIBUTE "status" {"Available","Cancelled","Coming","Discontinued"}
@ATTRIBUTE "OS" {"Android","Android Wear OS","Chrome OS","MagicOS","Microsoft Windows","Microsoft Windows Phone","Proprietary OS","iOS","iPadOS","watchOS"}
@ATTRIBUTE "Chipset" {"Allwinner","Apple","Exynos","Intel","Mediatek","Qualcomm","Rockchip"}
@ATTRIBUTE "SIM" {"Hybrid","Micro","Mini","Nano","No","Single","Triple","Yes","eSIM"}
@ATTRIBUTE "Cardslot" {"No","Unspecified","microSDHC","microSDXC"}
@ATTRIBUTE "CPU" {"10-core","5-core","8-core","9-core","Dual-core","Hexa-core","Octa-core","Penta-core","Quad-core","Unknown"}
@ATTRIBUTE "GPU" {"Adreno","Apple","Arm","IMG","Immortalis-G720","Immortalis-G925","Intel","Mali","Mali-400","Mali-400MP2","Mali-450MP4","Mali-G52","Mali-G57","Mali-G615","Mali-G68","Mali-G720","Mali-T720","Mali-T720MP2","Mali-T720MP3","Mali-T720MP4","Mali-T760MP2","PowerVR","Unknown","Xclipse"}
@ATTRIBUTE "Display" {"AMOLED","Dynamic AMOLED 2X","Dynamic LTPO AMOLED 2X","Foldable Dynamic LTPO AMOLED 2X","Foldable LTPO AMOLED","Foldable LTPO OLED","IPS LCD","LED-backlit IPS LCD","LTPO AMOLED","LTPO AMOLED 2X","LTPO OLED","LTPO Super Retina XDR OLED","Liquid Retina IPS LCD","Liquid Retina XDR mini-LED LCD","OLED","PLS LCD","Retina IPS LCD","Retina LTPO OLED","Retina LTPO2 OLED","Retina LTPO3 OLED","Super AMOLED","Super AMOLED+","Super Retina XDR OLED","TFT","TFT LCD","Tri-foldable Dynamic LTPO AMOLED 2X","Ultra Retina Tandem OLED"}
@ATTRIBUTE "price[EUR]" NUMERIC
@ATTRIBUTE "weight[g]" NUMERIC
@ATTRIBUTE "length[mm]" NUMERIC
@ATTRIBUTE "width[mm]" NUMERIC
@ATTRIBUTE "thikness[mm]" NUMERIC
@ATTRIBUTE "Internal memory[GB]" NUMERIC
@ATTRIBUTE "Internal memory RAM[GB]" NUMERIC
@ATTRIBUTE "Video[fps]" NUMERIC
@ATTRIBUTE "Battery Type[mAh]" NUMERIC
@ATTRIBUTE "Announced" STRING

@DATA
"Available","Android","Exynos","Nano","microSDXC","Octa-core","Mali-G68","Super AMOLED",194.0,200,164.0,77.5,7.7,128,4,30,5000,"2025-03-02"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G57","Super AMOLED",130,191,164.4,77.9,7.9,128,4,30,5000,"2025-02-27"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G57","PLS LCD",82.49,184,167.4,77.4,7.6,64,4,30,5000,"2025-10-01"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G57","TFT LCD",180,335,211.0,124.7,8.0,64,4,30,5100,"2025-09-12"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G57","PLS LCD",222.29,184,167.4,77.4,7.6,64,4,30,5000,"2025-10-04"
"Available","Android","Exynos","Nano","No","10-core","Xclipse","Foldable Dynamic LTPO AMOLED 2X",921.33,187,165.1,71.9,6.9,128,8,?,4000,"2025-07-09"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Immortalis-G925","Dynamic AMOLED 2X",735.99,469,253.8,165.3,5.5,128,12,30,8400,"2025-09-04"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G57","PLS LCD",114.39,191,167.4,77.4,8.0,64,4,?,5000,"2025-02-12"
"Available","Android","Mediatek","Nano","microSDXC","Octa-core","Mali-G57","PLS LCD",107.63,191,167.3,77.3,8.0,64,4,?,5000,"2025-02-19"
"Available","Android","Exynos","Nano","microSDXC","Octa-core","Xclipse","IPS LCD",597.99,664,300.6,194.7,6.0,128,8,30,10090,"2025-04-02"
"Available","Android","Qualcomm","Nano","No","Octa-core","Adreno","Dynamic LTPO AMOLED 2X",589.99,162,146.9,70.5,7.2,128,12,?,4000,"2025-01-22"
"Available","Android","Exynos","Nano","No","Octa-core","Xclipse","Super AMOLED+",302.39,180,162.0,77.3,7.2,128,8,30,5000,"2025-05-07"
"Available","Android","Exynos","Nano","No","Octa-core","Xclipse","Super AMOLED+",230.99,180,162.0,77.3,7.2,128,8,30,5000,"2025-04-17"
"Available","Android","Exynos","Nano","microSDXC","Octa-core","Mali-G68","Super AMOLED",163.99,200,164.4,77.9,7.9,128,4,30,5000,"2024-10-07"
